school minority sex ses math.achieve sector size percent
1288 No Male 1.262 1.575 Public 1855 27
1288 No Female 0.152 3.534 Public 1855 27
1288 No Female -0.678 20.173 Public 1855 27
1288 No Female 0.332 10.772 Public 1855 27
1288 No Female -0.728 2.619 Public 1855 27
1288 No Female 1.262 21.3 Public 1855 27
1288 No Male 0.612 19.527 Public 1855 27
1288 No Female 0.692 18.402 Public 1855 27
1288 No Female 1.082 20.69 Public 1855 27
1288 No Male 0.222 21.437 Public 1855 27
1288 No Male 0.032 7.519 Public 1855 27
1288 No Male -0.118 18.397 Public 1855 27
1288 No Male -0.488 4.617 Public 1855 27
1288 No Male 0.322 23.578 Public 1855 27
1288 No Male 0.592 12.81 Public 1855 27
1296 Yes Female -0.148 12.668 Public 1719 32
1296 Yes Male -0.858 0.781 Public 1719 32
1296 Yes Female -1.568 4.968 Public 1719 32
1296 Yes Male -0.898 23.172 Public 1719 32
1296 Yes Female -0.288 8.278 Public 1719 32
1296 Yes Female -1.088 6.244 Public 1719 32
1296 Yes Female -1.388 1.326 Public 1719 32
1296 Yes Male -1.148 2.359 Public 1719 32
1296 Yes Female -0.558 6.757 Public 1719 32
1296 Yes Female -0.698 6.251 Public 1719 32
1296 Yes Female 0.142 3.404 Public 1719 32
1296 Yes Male 0.522 22.201 Public 1719 32
1296 Yes Male 0.732 -1.353 Public 1719 32
1296 Yes Female -0.248 -0.014 Public 1719 32
1296 Yes Female 0.322 5.216 Public 1719 32
1296 Yes Female 0.052 3.587 Public 1719 32
1296 Yes Female -0.028 11.162 Public 1719 32
1296 Yes Female -0.898 5.982 Public 1719 32
1296 Yes Male -0.818 2.814 Public 1719 32
1296 Yes Female -1.408 7.272 Public 1719 32
1296 Yes Male -1.258 8.895 Public 1719 32
1296 Yes Male -0.608 8.773 Public 1719 32
1296 Yes Female 1.242 12.176 Public 1719 32
1296 No Male -0.688 3.052 Public 1719 32
1296 Yes Female -0.828 6.834 Public 1719 32
1296 Yes Female -0.698 3.255 Public 1719 32
1296 Yes Female -0.498 6.355 Public 1719 32
1296 Yes Male -0.658 11.589 Public 1719 32
1296 Yes Female -0.778 8.08 Public 1719 32
1296 Yes Female -0.098 19.822 Public 1719 32
1296 Yes Female -1.028 14.239 Public 1719 32
1296 Yes Female -0.418 1.17 Public 1719 32
1296 Yes Female -0.408 -1.127 Public 1719 32
1296 Yes Male 0.352 10.84 Public 1719 32
1296 Yes Female -1.628 6.778 Public 1719 32
1296 Yes Female -0.698 9.449 Public 1719 32
1296 Yes Male -0.168 5.995 Public 1719 32
1296 Yes Female -0.718 4.765 Public 1719 32
1296 Yes Female -1.008 14.399 Public 1719 32
1296 Yes Male -0.178 6.588 Public 1719 32
1296 Yes Male 0.392 11.026 Public 1719 32
1296 Yes Female -0.358 7.095 Public 1719 32
1296 Yes Male -0.628 12.721 Public 1719 32
1296 Yes Male -0.038 5.52 Public 1719 32
1296 Yes Female 0.972 7.353 Public 1719 32
1296 Yes Female 0.252 7.095 Public 1719 32
1296 Yes Female 0.332 9.999 Public 1719 32
1296 Yes Male -0.308 10.715 Public 1719 32
1308 No Male 0.422 13.233 Catholic 716 96
1308 No Male 0.562 13.952 Catholic 716 96
1308 Yes Male -0.058 13.757 Catholic 716 96
1308 No Male 0.952 13.97 Catholic 716 96
1308 No Male 0.622 23.434 Catholic 716 96
1308 No Male 0.832 9.162 Catholic 716 96
1308 No Male 1.512 23.818 Catholic 716 96
1308 No Male 0.622 15.998 Catholic 716 96
1308 Yes Male 0.332 16.039 Catholic 716 96
1308 No Male 0.442 24.993 Catholic 716 96
1308 Yes Male 0.582 15.657 Catholic 716 96
1308 No Male 1.102 16.258 Catholic 716 96
1308 No Male 0.892 10.546 Catholic 716 96
1308 Yes Male 0.802 17.615 Catholic 716 96
1308 Yes Male -0.568 21.116 Catholic 716 96
1308 Yes Male 0.522 6.493 Catholic 716 96
1308 Yes Male 0.102 2.512 Catholic 716 96
1308 Yes Male -0.348 22.393 Catholic 716 96
1308 No Male 0.552 21.488 Catholic 716 96
1308 No Male 0.682 22.676 Catholic 716 96
1317 No Female 0.882 12.862 Catholic 455 95
1317 Yes Female 0.932 8.961 Catholic 455 95
1317 Yes Female -0.158 4.756 Catholic 455 95
1317 Yes Female 0.362 21.405 Catholic 455 95
1317 No Female 1.372 20.748 Catholic 455 95
1317 Yes Female 0.132 18.362 Catholic 455 95
1317 No Female 0.132 14.752 Catholic 455 95
1317 Yes Female -0.008 11.29 Catholic 455 95
1317 Yes Female -0.108 10.493 Catholic 455 95
1317 Yes Female 0.612 10.956 Catholic 455 95
1317 Yes Female 0.482 21.405 Catholic 455 95
1317 No Female 0.502 23.355 Catholic 455 95
1317 Yes Female 0.482 12.283 Catholic 455 95
1317 Yes Female 0.472 9.257 Catholic 455 95
1317 No Female -0.578 11.502 Catholic 455 95
1317 Yes Female 1.152 20.039 Catholic 455 95
1317 Yes Female -0.288 21.405 Catholic 455 95
1317 Yes Female 0.942 23.736 Catholic 455 95
1317 Yes Female 0.722 11.027 Catholic 455 95
1317 Yes Female -0.108 17.203 Catholic 455 95
1317 Yes Female 1.462 10.661 Catholic 455 95
1317 Yes Female -0.028 7.031 Catholic 455 95
1317 No Female 0.702 13.677 Catholic 455 95
1317 Yes Female 0.082 13.373 Catholic 455 95
1317 Yes Female -0.108 10.121 Catholic 455 95
1317 Yes Female 0.322 10.394 Catholic 455 95
1317 Yes Female 0.302 6.973 Catholic 455 95
1317 No Female -0.098 11.064 Catholic 455 95
1317 Yes Female -0.848 11.531 Catholic 455 95
1317 Yes Female -1.248 8.253 Catholic 455 95
1317 Yes Female 0.122 7.142 Catholic 455 95
1317 Yes Female 0.272 3.22 Catholic 455 95
1317 No Female 0.582 15.784 Catholic 455 95
1317 Yes Female 0.642 17.246 Catholic 455 95
1317 Yes Female 0.952 9.337 Catholic 455 95
1317 Yes Female -0.258 15.555 Catholic 455 95
1317 Yes Female 0.492 8.382 Catholic 455 95
1317 No Female 0.992 11.621 Catholic 455 95
1317 Yes Female 0.832 4.81 Catholic 455 95
1317 Yes Female -0.068 17.869 Catholic 455 95
1317 Yes Female -0.088 8.057 Catholic 455 95
1317 Yes Female 0.972 11.794 Catholic 455 95
1317 No Female 0.542 18.939 Catholic 455 95
1317 Yes Female 0.132 20.261 Catholic 455 95
1317 Yes Female -0.008 10.066 Catholic 455 95
1317 No Female 0.812 20.236 Catholic 455 95
1317 No Female 1.122 4.508 Catholic 455 95
1317 No Female 0.062 18.827 Catholic 455 95
1358 Yes Male 0.032 -1.347 Public 1430 25
1358 No Female -1.088 8.054 Public 1430 25
1358 No Male 0.372 15.655 Public 1430 25
1358 No Male -0.568 11.648 Public 1430 25
1358 No Male -0.328 11.629 Public 1430 25
1358 No Female -0.018 18.687 Public 1430 25
1358 Yes Male -1.208 -0.827 Public 1430 25
1358 No Male -0.098 7.87 Public 1430 25
1358 No Male 0.942 18.115 Public 1430 25
1358 No Female -1.408 3.792 Public 1430 25
1358 No Male 0.122 11.03 Public 1430 25
1358 No Female 0.362 7.564 Public 1430 25
1358 Yes Female -0.708 3.465 Public 1430 25
1358 No Male 0.252 15.038 Public 1430 25
1358 No Female 0.312 10.184 Public 1430 25
1358 No Female -0.678 2.933 Public 1430 25
1358 No Male -0.148 8.438 Public 1430 25
1358 No Female -0.168 7.519 Public 1430 25
1358 No Male 1.092 18.735 Public 1430 25
1358 No Female 0.232 10.19 Public 1430 25
1358 No Male 0.422 16.294 Public 1430 25
1358 No Male 1.282 10.65 Public 1430 25
1358 No Male -0.248 10.301 Public 1430 25
1358 No Male 0.952 17.811 Public 1430 25
1358 No Female -0.038 14.646 Public 1430 25
1358 No Female -0.398 17.191 Public 1430 25
1358 No Male 0.162 8.69 Public 1430 25
1358 No Male 0.682 21.142 Public 1430 25
1358 No Male -0.668 16.499 Public 1430 25
1358 No Male -0.038 14.591 Public 1430 25
1374 No Male 0.322 16.663 Public 2400 50
1374 Yes Female 0.212 -2.155 Public 2400 50
1374 Yes Female 0.682 0.085 Public 2400 50
1374 No Female -0.148 18.804 Public 2400 50
1374 Yes Female -0.468 2.409 Public 2400 50
1374 No Female 0.842 16.759 Public 2400 50
1374 Yes Male 0.072 18.948 Public 2400 50
1374 No Female 0.332 10.593 Public 2400 50
1374 No Male -0.858 15.557 Public 2400 50
1374 No Male 0.902 23.419 Public 2400 50
1374 Yes Male 1.242 0.333 Public 2400 50
1374 No Male -0.738 -2.002 Public 2400 50
1374 No Male 0.362 24.041 Public 2400 50
1374 Yes Male 0.712 -2.657 Public 2400 50
1374 No Female 0.452 7.603 Public 2400 50
1374 Yes Male -0.598 5.803 Public 2400 50
1374 Yes Male -1.028 3.931 Public 2400 50
1374 No Male -0.338 8.268 Public 2400 50
1374 No Male -0.948 1.344 Public 2400 50
1374 Yes Male 0.292 16.449 Public 2400 50
1374 No Female -1.218 2.881 Public 2400 50
1374 No Female 0.492 20.93 Public 2400 50
1374 No Male 1.152 22.086 Public 2400 50
1374 No Female -0.758 7.653 Public 2400 50
1374 No Female -0.298 8.082 Public 2400 50
1374 No Female -0.478 5.503 Public 2400 50
1374 No Female 0.192 9.004 Public 2400 50
1374 No Male -0.738 12.063 Public 2400 50
1433 No Male 0.812 12.907 Catholic 899 96
1433 No Male 1.332 18.496 Catholic 899 96
1433 No Male -0.338 20.323 Catholic 899 96
1433 No Male 1.082 22.682 Catholic 899 96
1433 No Male 0.542 14.198 Catholic 899 96
1433 No Male 0.382 24.044 Catholic 899 96
1433 No Male 0.592 19.571 Catholic 899 96
1433 No Male 0.852 22.183 Catholic 899 96
1433 No Male -0.368 16.676 Catholic 899 96
1433 No Male 1.022 23.327 Catholic 899 96
1433 No Male 0.712 16.394 Catholic 899 96
1433 No Male 0.272 23.032 Catholic 899 96
1433 No Male 1.182 18.586 Catholic 899 96
1433 No Male -0.588 15.246 Catholic 899 96
1433 No Male 1.282 20.731 Catholic 899 96
1433 No Male 0.942 20.447 Catholic 899 96
1433 No Male 1.512 23.572 Catholic 899 96
1433 No Male 0.222 17.571 Catholic 899 96
1433 No Male 0.992 24.993 Catholic 899 96
1433 No Male 1.362 24.421 Catholic 899 96
1433 No Male 0.482 11.478 Catholic 899 96
1433 No Male 1.292 24.812 Catholic 899 96
1433 No Male 1.072 22.093 Catholic 899 96
1433 No Male 0.562 18.716 Catholic 899 96
1433 No Male -0.218 23.392 Catholic 899 96
1433 No Male 1.512 15.992 Catholic 899 96
1433 No Male 0.772 13.254 Catholic 899 96
1433 No Male 0.952 24.812 Catholic 899 96
1433 No Male 1.392 22.086 Catholic 899 96
1433 Yes Male 1.002 24.479 Catholic 899 96
1433 No Male 0.932 16.724 Catholic 899 96
1433 No Male -0.458 20.628 Catholic 899 96
1433 No Male -0.198 14.544 Catholic 899 96
1433 No Male 0.952 19.033 Catholic 899 96
1433 No Male 1.072 18.727 Catholic 899 96
1436 No Male 0.222 24.133 Catholic 185 100
1436 No Male -0.078 18.77 Catholic 185 100
1436 No Male 1.512 21.803 Catholic 185 100
1436 No Male 0.212 9.561 Catholic 185 100
1436 No Female 0.792 15.132 Catholic 185 100
1436 No Female 1.342 22.387 Catholic 185 100
1436 No Male 0.242 22.578 Catholic 185 100
1436 No Male -0.298 18.763 Catholic 185 100
1436 No Male -1.038 18.301 Catholic 185 100
1436 No Male 0.682 15.879 Catholic 185 100
1436 No Male 0.802 20.424 Catholic 185 100
1436 No Male 0.952 23.072 Catholic 185 100
1436 No Female 1.002 13.12 Catholic 185 100
1436 No Male 1.142 18.844 Catholic 185 100
1436 No Female 0.482 17.495 Catholic 185 100
1436 No Female 1.512 15.615 Catholic 185 100
1436 No Female 0.242 11.001 Catholic 185 100
1436 No Female 1.222 17.103 Catholic 185 100
1436 No Female -0.298 21.56 Catholic 185 100
1436 No Male -0.338 19.419 Catholic 185 100
1436 No Female 1.042 18.471 Catholic 185 100
1436 No Male 0.672 22.868 Catholic 185 100
1436 No Male 0.732 14.138 Catholic 185 100
1436 No Male 0.822 23.271 Catholic 185 100
1436 No Male 0.362 13.472 Catholic 185 100
1436 No Male -0.318 17.465 Catholic 185 100
1436 No Male 0.682 16.038 Catholic 185 100
1436 No Male 0.712 22.455 Catholic 185 100
1436 No Male 0.542 18.984 Catholic 185 100
1436 No Male 0.252 12.535 Catholic 185 100
1436 No Female 0.482 16.568 Catholic 185 100
1436 No Male -0.028 22.592 Catholic 185 100
1436 No Male 0.252 16.886 Catholic 185 100
1436 No Male 0.702 22.985 Catholic 185 100
1436 No Female 0.212 6.798 Catholic 185 100
1436 No Female 0.342 5.51 Catholic 185 100
1436 No Male 1.342 24.479 Catholic 185 100
1436 No Female 1.512 18.827 Catholic 185 100
1436 No Female 1.212 20.268 Catholic 185 100
1436 No Male 1.122 24.993 Catholic 185 100
1436 No Male 0.272 15.06 Catholic 185 100
1436 No Female 0.782 20.818 Catholic 185 100
1436 No Male -0.018 18.33 Catholic 185 100
1436 No Male 0.772 18.14 Catholic 185 100
1461 No Female 0.042 12.962 Public 1672 78
1461 No Female 1.282 24.545 Public 1672 78
1461 No Female 1.122 13.314 Public 1672 78
1461 No Female 1.172 16.929 Public 1672 78
1461 No Female -1.108 3.796 Public 1672 78
1461 No Female 0.822 14.581 Public 1672 78
1461 No Female 0.482 18.719 Public 1672 78
1461 No Female 0.902 12.595 Public 1672 78
1461 No Female 1.022 17.326 Public 1672 78
1461 No Female 0.602 15.918 Public 1672 78
1461 No Male 1.272 23.088 Public 1672 78
1461 No Male 1.352 18.259 Public 1672 78
1461 No Male 1.422 23.517 Public 1672 78
1461 No Male -0.108 14.157 Public 1672 78
1461 No Male -0.358 17.999 Public 1672 78
1461 No Female 1.202 18.858 Public 1672 78
1461 No Male -0.778 22.183 Public 1672 78
1461 No Female 1.102 24.993 Public 1672 78
1461 No Female 1.012 20.928 Public 1672 78
1461 No Male 1.262 22.461 Public 1672 78
1461 No Male 1.392 18.322 Public 1672 78
1461 No Female -0.258 2.895 Public 1672 78
1461 No Male 0.932 21.007 Public 1672 78
1461 No Male 1.062 18.471 Public 1672 78
1461 No Male 1.212 24.48 Public 1672 78
1461 No Female 0.982 18.471 Public 1672 78
1461 No Female 0.462 18.831 Public 1672 78
1461 No Female 0.532 18.114 Public 1672 78
1461 No Male 1.062 22.685 Public 1672 78
1461 No Male 0.172 -0.338 Public 1672 78
1461 No Female 0.492 21.09 Public 1672 78
1461 Yes Male -0.668 -2.832 Public 1672 78
1461 No Female 1.262 17.483 Public 1672 78
1462 Yes Male 0.162 1.967 Catholic 530 46
1462 Yes Male -0.758 7.718 Catholic 530 46
1462 Yes Male -0.708 19.043 Catholic 530 46
1462 Yes Male -0.818 20.133 Catholic 530 46
1462 Yes Male -1.918 22.289 Catholic 530 46
1462 Yes Male -0.948 14.277 Catholic 530 46
1462 Yes Male -0.798 10.189 Catholic 530 46
1462 Yes Male -1.458 9.607 Catholic 530 46
1462 Yes Male -0.158 6.125 Catholic 530 46
1462 Yes Male -0.378 23.818 Catholic 530 46
1462 Yes Male -1.068 6.34 Catholic 530 46
1462 Yes Male -0.808 9.437 Catholic 530 46
1462 Yes Male -1.648 8.168 Catholic 530 46
1462 Yes Male -0.288 4.31 Catholic 530 46
1462 Yes Male -0.328 6.986 Catholic 530 46
1462 Yes Male -0.498 21.452 Catholic 530 46
1462 Yes Male -0.158 9.167 Catholic 530 46
1462 Yes Male -0.728 9.625 Catholic 530 46
1462 Yes Male -0.948 0.722 Catholic 530 46
1462 Yes Male -0.728 3.115 Catholic 530 46
1462 Yes Male -1.508 23.066 Catholic 530 46
1462 Yes Male -0.088 4.518 Catholic 530 46
1462 Yes Male -0.638 5.337 Catholic 530 46
1462 Yes Male -0.358 4.103 Catholic 530 46
1462 Yes Male -0.658 15.794 Catholic 530 46
1462 Yes Male -0.958 1.975 Catholic 530 46
1462 Yes Male -1.208 2.693 Catholic 530 46
1462 Yes Male -0.378 13.809 Catholic 530 46
1462 Yes Male -0.918 7.964 Catholic 530 46
1462 Yes Male 0.222 2.142 Catholic 530 46
1462 Yes Male 0.312 6.035 Catholic 530 46
1462 Yes Male -0.488 17.996 Catholic 530 46
1462 No Male 0.302 20.792 Catholic 530 46
1462 Yes Male -0.868 9.909 Catholic 530 46
1462 Yes Male -0.708 5.189 Catholic 530 46
1462 Yes Male -1.178 7.772 Catholic 530 46
1462 Yes Male -0.498 12.074 Catholic 530 46
1462 Yes Male 0.032 15.103 Catholic 530 46
1462 Yes Male -1.318 11.252 Catholic 530 46
1462 Yes Male -1.948 1.283 Catholic 530 46
1462 Yes Male -0.738 16.975 Catholic 530 46
1462 Yes Male -0.558 8.762 Catholic 530 46
1462 Yes Male -0.518 6.789 Catholic 530 46
1462 Yes Male -1.098 12.283 Catholic 530 46
1462 Yes Male -0.778 11.479 Catholic 530 46
1462 Yes Male -1.068 9.071 Catholic 530 46
1462 Yes Male -0.388 9.474 Catholic 530 46
1462 Yes Male 0.222 12.089 Catholic 530 46
1462 Yes Male 0.112 16.534 Catholic 530 46
1462 Yes Male -0.528 6.331 Catholic 530 46
1462 Yes Male -0.398 10.386 Catholic 530 46
1462 Yes Male -0.358 8.163 Catholic 530 46
1462 Yes Male -0.598 18.801 Catholic 530 46
1462 Yes Male -1.708 22.581 Catholic 530 46
1462 Yes Male -0.268 16.095 Catholic 530 46
1462 Yes Male -2.058 5.321 Catholic 530 46
1462 Yes Male 0.402 3.819 Catholic 530 46
1477 No Female -0.178 14.15 Catholic 531 81
1477 No Male -0.108 3.976 Catholic 531 81
1477 No Male 0.262 3.846 Catholic 531 81
1477 Yes Male -0.358 5.238 Catholic 531 81
1477 No Female 0.982 9.349 Catholic 531 81
1477 No Female 0.462 23.765 Catholic 531 81
1477 No Male -0.208 22.84 Catholic 531 81
1477 No Male 0.812 1.606 Catholic 531 81
1477 No Female -0.388 19.269 Catholic 531 81
1477 No Male 0.282 17.191 Catholic 531 81
1477 No Male 0.012 16.288 Catholic 531 81
1477 No Male 0.392 7.106 Catholic 531 81
1477 No Male -1.068 20.714 Catholic 531 81
1477 No Male 0.662 18.171 Catholic 531 81
1477 No Female 0.002 21.951 Catholic 531 81
1477 No Male -0.388 -2.832 Catholic 531 81
1477 No Male 1.222 20.246 Catholic 531 81
1477 Yes Female -0.368 21.75 Catholic 531 81
1477 No Female -0.588 16.337 Catholic 531 81
1477 No Female 0.642 16.061 Catholic 531 81
1477 No Female 0.892 11.724 Catholic 531 81
1477 No Female 1.152 19.401 Catholic 531 81
1477 No Female -0.518 2.186 Catholic 531 81
1477 No Female 0.002 23.204 Catholic 531 81
1477 No Male 0.202 12.755 Catholic 531 81
1477 No Male 1.512 14.076 Catholic 531 81
1477 No Male -0.238 22.493 Catholic 531 81
1477 No Male 0.022 22.714 Catholic 531 81
1477 No Male 0.562 11.031 Catholic 531 81
1477 No Female -0.658 18.777 Catholic 531 81
1477 No Male 0.352 24.107 Catholic 531 81
1477 No Female 0.702 23.004 Catholic 531 81
1477 Yes Male -0.588 8.136 Catholic 531 81
1477 No Female 0.152 10.714 Catholic 531 81
1477 No Female -0.218 12.59 Catholic 531 81
1477 No Male 0.932 14.732 Catholic 531 81
1477 No Female 1.312 22.396 Catholic 531 81
1477 No Male 0.352 16.304 Catholic 531 81
1477 No Male -0.748 16.19 Catholic 531 81
1477 No Female 0.652 7.275 Catholic 531 81
1477 No Female 0.652 14.809 Catholic 531 81
1477 No Male 0.042 -0.203 Catholic 531 81
1477 No Male -0.808 17.967 Catholic 531 81
1477 No Male 1.342 24.247 Catholic 531 81
1477 No Female 1.512 6.946 Catholic 531 81
1477 No Male 0.492 17.791 Catholic 531 81
1477 No Female 0.152 8.856 Catholic 531 81
1477 No Male -0.818 10.349 Catholic 531 81
1477 No Female -0.918 9.44 Catholic 531 81
1477 No Female 1.072 4.999 Catholic 531 81
1477 No Female 0.252 7.873 Catholic 531 81
1477 No Male -0.548 17.007 Catholic 531 81
1477 No Male 0.072 16.262 Catholic 531 81
1477 No Female -1.408 0.466 Catholic 531 81
1477 No Male 0.052 18.887 Catholic 531 81
1477 No Male -0.118 24.812 Catholic 531 81
1477 No Male 1.212 15.245 Catholic 531 81
1477 No Female -0.268 14.958 Catholic 531 81
1477 No Male -0.248 12.508 Catholic 531 81
1477 No Male 0.632 21.853 Catholic 531 81
1477 No Female -0.158 20.844 Catholic 531 81
1477 No Female -0.208 5.418 Catholic 531 81
1499 No Female -0.678 5.608 Public 1921 9
1499 No Female -0.158 18.352 Public 1921 9
1499 No Female -0.468 5.949 Public 1921 9
1499 Yes Female -0.148 -1.462 Public 1921 9
1499 Yes Female -0.928 4.087 Public 1921 9
1499 No Female -0.218 10.258 Public 1921 9
1499 No Male 0.662 21.791 Public 1921 9
1499 No Male -0.228 1.365 Public 1921 9
1499 No Female -0.368 1.73 Public 1921 9
1499 Yes Female 0.342 5.093 Public 1921 9
1499 No Male 0.692 17.572 Public 1921 9
1499 Yes Male -0.898 11.211 Public 1921 9
1499 Yes Female -0.578 6.018 Public 1921 9
1499 No Female -1.178 6.394 Public 1921 9
1499 Yes Male -1.608 14.681 Public 1921 9
1499 Yes Male -1.048 11.868 Public 1921 9
1499 Yes Female 0.382 2.404 Public 1921 9
1499 No Female -0.958 2.042 Public 1921 9
1499 Yes Female 0.432 11.685 Public 1921 9
1499 Yes Male -1.808 -0.818 Public 1921 9
1499 Yes Female -1.068 6.718 Public 1921 9
1499 No Female -0.008 13.72 Public 1921 9
1499 No Male 0.222 21.907 Public 1921 9
1499 No Female -0.498 -2.195 Public 1921 9
1499 No Female -0.258 8.519 Public 1921 9
1499 Yes Female -1.788 1.679 Public 1921 9
1499 No Female -0.648 -1.744 Public 1921 9
1499 No Female -0.178 6.795 Public 1921 9
1499 Yes Female -1.078 4.179 Public 1921 9
1499 No Male -0.398 7.709 Public 1921 9
1499 No Female 0.832 5.35 Public 1921 9
1499 Yes Female -0.678 0.259 Public 1921 9
1499 Yes Male -0.348 7.983 Public 1921 9
1499 No Male 0.192 9.901 Public 1921 9
1499 Yes Female -1.468 2.497 Public 1921 9
1499 No Female 0.362 23.542 Public 1921 9
1499 Yes Female -0.328 13.571 Public 1921 9
1499 No Female -0.148 21.421 Public 1921 9
1499 No Female -0.938 3.676 Public 1921 9
1499 Yes Male -0.018 4.856 Public 1921 9
1499 No Female 0.842 14.056 Public 1921 9
1499 Yes Male -1.598 1.67 Public 1921 9
1499 No Male -0.218 8.401 Public 1921 9
1499 Yes Male -1.068 10.964 Public 1921 9
1499 No Male -0.628 11.955 Public 1921 9
1499 Yes Female -1.068 1.647 Public 1921 9
1499 No Female -1.118 4.267 Public 1921 9
1499 No Male -0.228 5.376 Public 1921 9
1499 No Male 0.282 6.672 Public 1921 9
1499 Yes Female -1.818 8.532 Public 1921 9
1499 No Female 0.542 5.681 Public 1921 9
1499 Yes Male -1.718 2.727 Public 1921 9
1499 No Male 0.102 7.88 Public 1921 9
1637 No Male -0.158 4.213 Public 100 10
1637 Yes Male -0.658 10.524 Public 100 10
1637 No Male 0.622 5.571 Public 100 10
1637 Yes Female -1.748 4.062 Public 100 10
1637 No Male 0.232 9.826 Public 100 10
1637 Yes Female -0.368 -0.538 Public 100 10
1637 Yes Female -0.388 7.032 Public 100 10
1637 Yes Male -1.238 -1.437 Public 100 10
1637 No Male -0.968 3.77 Public 100 10
1637 Yes Female -0.498 6.689 Public 100 10
1637 Yes Female -0.028 -2.832 Public 100 10
1637 Yes Male -1.688 1.74 Public 100 10
1637 Yes Female -0.648 4.814 Public 100 10
1637 Yes Female -0.688 7.723 Public 100 10
1637 Yes Female -1.408 3.595 Public 100 10
1637 No Male 0.742 24.993 Public 100 10
1637 Yes Male -1.948 17.621 Public 100 10
1637 No Female -0.688 18.052 Public 100 10
1637 Yes Female -1.518 7.138 Public 100 10
1637 Yes Female -0.758 2.202 Public 100 10
1637 No Female -1.278 6.065 Public 100 10
1637 Yes Female -1.548 11.613 Public 100 10
1637 Yes Female -0.708 -1.211 Public 100 10
1637 Yes Female 0.242 14.536 Public 100 10
1637 Yes Male -1.748 -2.374 Public 100 10
1637 No Female 0.362 20.394 Public 100 10
1637 Yes Male -0.568 5.87 Public 100 10
1906 Yes Female 0.132 14.449 Catholic 400 87
1906 No Female 0.382 20.455 Catholic 400 87
1906 No Female 1.082 22.826 Catholic 400 87
1906 No Female -0.538 16.801 Catholic 400 87
1906 Yes Female 0.992 9.995 Catholic 400 87
1906 No Female -0.588 23.482 Catholic 400 87
1906 No Male 0.822 17.985 Catholic 400 87
1906 No Male 0.702 14.63 Catholic 400 87
1906 No Male 1.012 16.667 Catholic 400 87
1906 No Male 0.602 14.171 Catholic 400 87
1906 No Female -0.298 20.115 Catholic 400 87
1906 No Female -0.518 4.805 Catholic 400 87
1906 No Male 0.592 22.107 Catholic 400 87
1906 No Female 0.382 21.122 Catholic 400 87
1906 No Female 0.152 10.484 Catholic 400 87
1906 No Female -0.088 21.028 Catholic 400 87
1906 No Male 0.202 24.457 Catholic 400 87
1906 No Male -0.278 0.901 Catholic 400 87
1906 Yes Male -0.508 13.83 Catholic 400 87
1906 No Male 1.512 23.345 Catholic 400 87
1906 No Male 1.122 22.222 Catholic 400 87
